"ID","UNIT_ID","UNIT_NAME","PROJECT_ID","PROJECT_NAME","ORIGIN_ID","ORIGIN_NAME","TIMESTAMP","START_TIME","STOP_TIME","STEP_DURATION","STEP_INFO","PROCESS_ID","PROCESS_NAME","STEP_INDEX","STEP_RANK","COMPOSITE_STEP_STRUCTURE_IDS","COMPOSITE_STEP_STRUCTURE","TASK_ID","TASK_NAME","ERROR_COUNT","TARGET_ID","TARGET_NAME","TARGET_TYPE","TARGET_ACTION_TYPE","USER_ID","USER_NAME","EXPERIENCE_LEVEL"
"26","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","-142602882","Place Object CoverRight","2023-04-26 16:53:42.4256261","26/04/2023 16:53:39","26/04/2023 16:53:42","2671.9412","","1519498853788940211","Light Switch Assembly","6","6","1802834335914634763; 1592221329674637623","Light Switch Assembly; AssemblyCover","1802834335914634763","Light Switch Assembly","0","-1709143749061898623","CoverRight","OBJECT","OBJECT_PLACING","4587497684412433788","Admin","1"
"27","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","-1045097915","Grab material WhiteButtons","2023-04-26 16:53:45.1234465","26/04/2023 16:53:42","26/04/2023 16:53:45","2695.8119","","1519498853788940211","Light Switch Assembly","7","7","1802834335914634763; 2449364416602761589","Light Switch Assembly; AssemblyButton","1802834335914634763","Light Switch Assembly","0","3439103792223907264","WhiteButtons","MATERIAL","MATERIAL_GRAB","4587497684412433788","Admin","1"
"28","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","895557497","Place Object ButtonWhiteRight","2023-04-26 16:53:45.2929592","26/04/2023 16:53:45","26/04/2023 16:53:45","169.5127","","1519498853788940211","Light Switch Assembly","8","8","1802834335914634763; 2449364416602761589","Light Switch Assembly; AssemblyButton","1802834335914634763","Light Switch Assembly","0","6401497573791271088","ButtonWhiteRight","OBJECT","OBJECT_PLACING","4587497684412433788","Admin","1"
"29","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","1833070550","Take Object ButtonWhiteRight","2023-04-26 16:53:45.6206087","26/04/2023 16:53:45","26/04/2023 16:53:45","323.637","","1519498853788940211","Light Switch Assembly","9","9","1802834335914634763; 8240993139227157201","Light Switch Assembly; Reset","1802834335914634763","Light Switch Assembly","0","6401497573791271088","ButtonWhiteRight","OBJECT","OBJECT_TAKING","4587497684412433788","Admin","1"
"30","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","-1425314259","Restart (Reset+Play) Light Switch Assembly","2023-04-26 16:53:45.6206087","26/04/2023 16:53:45","26/04/2023 16:53:45","0","","1519498853788940211","Light Switch Assembly","10","10","1802834335914634763; 8240993139227157201","Light Switch Assembly; Reset","1802834335914634763","Light Switch Assembly","0","","","","","4587497684412433788","Admin","1"
"31","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","-1062092659","PickBasePlate","2023-04-26 16:53:54.8874101","26/04/2023 16:53:45","26/04/2023 16:53:54","9244.3996","","1519498853788940211","Light Switch Assembly","1","1","1802834335914634763; -4768918264913313276","Light Switch Assembly; AssemblyBasePlate","1802834335914634763","Light Switch Assembly","0","982673379971867040","Tray_BasePlate","VIRTUAL_BUTTON","VIRTUAL_BUTTON_PRESS","4587497684412433788","Admin","1"
"32","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","-400761393","Place Object BasePlateRight","2023-04-26 16:53:57.9228777","26/04/2023 16:53:54","26/04/2023 16:53:57","3034.4628","","1519498853788940211","Light Switch Assembly","2","2","1802834335914634763; -4768918264913313276","Light Switch Assembly; AssemblyBasePlate","1802834335914634763","Light Switch Assembly","0","5042184538292354428","BasePlateRight","OBJECT","OBJECT_PLACING","4587497684412433788","Admin","1"
"33","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","455428140","PickPCB","2023-04-26 16:53:59.724432","26/04/2023 16:53:57","26/04/2023 16:53:59","1801.5543","","1519498853788940211","Light Switch Assembly","3","3","1802834335914634763; 1773157767772184980","Light Switch Assembly; AssemblyPCB","1802834335914634763","Light Switch Assembly","0","-4862639818172077135","PCB (2)","MATERIAL","MATERIAL_GRAB","4587497684412433788","Admin","1"
"34","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","-769842170","Place Object PCBRight","2023-04-26 16:54:00.2900139","26/04/2023 16:53:59","26/04/2023 16:54:00","564.5797","","1519498853788940211","Light Switch Assembly","4","4","1802834335914634763; 1773157767772184980","Light Switch Assembly; AssemblyPCB","1802834335914634763","Light Switch Assembly","0","-2324833245701960368","PCBRight","OBJECT","OBJECT_PLACING","4587497684412433788","Admin","1"
"35","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","408708770","Grab material Cover","2023-04-26 16:54:02.752536","26/04/2023 16:54:00","26/04/2023 16:54:02","2461.0302","","1519498853788940211","Light Switch Assembly","5","5","1802834335914634763; 1592221329674637623","Light Switch Assembly; AssemblyCover","1802834335914634763","Light Switch Assembly","0","3258333247702727490","Cover","MATERIAL","MATERIAL_GRAB","4587497684412433788","Admin","1"
"36","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","-142602882","Place Object CoverRight","2023-04-26 16:54:04.752564","26/04/2023 16:54:02","26/04/2023 16:54:04","1999.5271","","1519498853788940211","Light Switch Assembly","6","6","1802834335914634763; 1592221329674637623","Light Switch Assembly; AssemblyCover","1802834335914634763","Light Switch Assembly","0","-1709143749061898623","CoverRight","OBJECT","OBJECT_PLACING","4587497684412433788","Admin","1"
"37","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","-1045097915","Grab material WhiteButtons","2023-04-26 16:54:06.7231338","26/04/2023 16:54:04","26/04/2023 16:54:06","1969.5515","","1519498853788940211","Light Switch Assembly","7","7","1802834335914634763; 2449364416602761589","Light Switch Assembly; AssemblyButton","1802834335914634763","Light Switch Assembly","0","3439103792223907264","WhiteButtons","MATERIAL","MATERIAL_GRAB","4587497684412433788","Admin","1"
"38","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","895557497","Place Object ButtonWhiteRight","2023-04-26 16:54:06.8904829","26/04/2023 16:54:06","26/04/2023 16:54:06","166.3474","","1519498853788940211","Light Switch Assembly","8","8","1802834335914634763; 2449364416602761589","Light Switch Assembly; AssemblyButton","1802834335914634763","Light Switch Assembly","0","6401497573791271088","ButtonWhiteRight","OBJECT","OBJECT_PLACING","4587497684412433788","Admin","1"
"39","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","1833070550","Take Object ButtonWhiteRight","2023-04-26 16:54:11.5199454","26/04/2023 16:54:06","26/04/2023 16:54:11","4628.4589","","1519498853788940211","Light Switch Assembly","9","9","1802834335914634763; 8240993139227157201","Light Switch Assembly; Reset","1802834335914634763","Light Switch Assembly","0","6401497573791271088","ButtonWhiteRight","OBJECT","OBJECT_TAKING","4587497684412433788","Admin","1"
"40","-1411157443","DESKTOP-DK02GKN","2019997094","Demo 2023","-1425314259","Restart (Reset+Play) Light Switch Assembly","2023-04-26 16:54:11.5219503","26/04/2023 16:54:11","26/04/2023 16:54:11","0","","1519498853788940211","Light Switch Assembly","10","10","1802834335914634763; 8240993139227157201","Light Switch Assembly; Reset","1802834335914634763","Light Switch Assembly","0","","","","","4587497684412433788","Admin","1"
